,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1258,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1259,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1260,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1261,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1262,Assign seriousness,Take in charge ticket,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,
1263,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1264,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1265,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1266,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1267,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1268,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1269,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1270,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1271,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,Closed,,,,,,,,,,
1272,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1273,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1274,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
1275,Insert ticket,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
1276,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1277,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1278,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1279,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1280,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1281,Take in charge ticket,Resolve ticket,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
1282,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1283,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1284,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1285,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1286,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1287,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1288,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1289,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1290,Assign seriousness,Take in charge ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1291,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,Closed,,,,,,,,,,
1292,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1293,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1294,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1295,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,
1296,Assign seriousness,Take in charge ticket,Require upgrade,Resolve ticket,Closed,,,,,,,,,,
1297,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1298,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1299,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1300,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1301,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1302,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1303,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1304,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1305,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1306,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1307,Assign seriousness,Take in charge ticket,Create SW anomaly,Resolve ticket,Closed,,,,,,,,,,
1308,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1309,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1310,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1311,Assign seriousness,Take in charge ticket,Require upgrade,Resolve ticket,Closed,,,,,,,,,,
1312,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1313,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1314,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1315,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1316,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1317,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1318,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1319,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1320,Assign seriousness,Wait,Resolve ticket,Closed,,,,,,,,,,,
1321,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1322,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1323,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
1324,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1325,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1326,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1327,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,
1328,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1329,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
1330,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1331,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1332,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,
1333,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1334,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1335,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
1336,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1337,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1338,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1339,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1340,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1341,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1342,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1343,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1344,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1345,Assign seriousness,Take in charge ticket,Wait,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
1346,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1347,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1348,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1349,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1350,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1351,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1352,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1353,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1354,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1355,Assign seriousness,Take in charge ticket,Wait,Require upgrade,Require upgrade,Resolve ticket,Closed,,,,,,,,
1356,Insert ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1357,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1358,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1359,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1360,Insert ticket,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,
1361,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1362,Assign seriousness,Wait,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
1363,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1364,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1365,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1366,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1367,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1368,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1369,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1370,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1371,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1372,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
1373,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1374,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1375,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
1376,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1377,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
1378,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1379,Assign seriousness,Take in charge ticket,Require upgrade,Require upgrade,Resolve ticket,Closed,,,,,,,,,
1380,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1381,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1382,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
1383,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1384,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,
1385,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1386,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1387,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1388,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1389,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1390,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1391,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1392,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1393,Insert ticket,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1394,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
1395,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1396,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1397,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1398,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,
1399,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
1400,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1401,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1402,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
1403,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1404,Assign seriousness,Take in charge ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1405,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1406,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1407,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1408,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1409,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1410,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1411,Assign seriousness,Take in charge ticket,Schedule intervention,Resolve ticket,Closed,,,,,,,,,,
1412,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1413,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1414,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1415,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1416,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1417,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1418,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1419,Assign seriousness,Take in charge ticket,Wait,Wait,Take in charge ticket,Resolve ticket,Resolve ticket,Resolve ticket,Closed,,,,,,
1420,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1421,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1422,Assign seriousness,Take in charge ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1423,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1424,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1425,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1426,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1427,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,
1428,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1429,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1430,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1431,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1432,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1433,Assign seriousness,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1434,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1435,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1436,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1437,Assign seriousness,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,
1438,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1439,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1440,Assign seriousness,Wait,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,
1441,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1442,Assign seriousness,Take in charge ticket,Require upgrade,Resolve ticket,Resolve ticket,Closed,,,,,,,,,
1443,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1444,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
1445,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1446,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1447,Assign seriousness,Take in charge ticket,Take in charge ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1448,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1449,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1450,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1451,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,
1452,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1453,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1454,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1455,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1456,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1457,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1458,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1459,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1460,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1461,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1462,Assign seriousness,Take in charge ticket,Require upgrade,Resolve ticket,Closed,,,,,,,,,,
1463,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
1464,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
1465,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1466,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1467,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1468,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1469,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,
1470,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1471,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1472,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1473,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1474,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1475,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1476,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1477,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1478,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1479,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1480,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1481,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,,
1482,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1483,Insert ticket,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,
1484,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1485,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1486,Assign seriousness,Take in charge ticket,Require upgrade,Require upgrade,Resolve ticket,Closed,,,,,,,,,
1487,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
1488,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
1489,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1490,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,
1491,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
1492,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
1493,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,
1494,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1495,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1496,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1497,Assign seriousness,Wait,Wait,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,
1498,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1499,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1500,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1501,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1502,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1503,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1504,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1505,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1506,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1507,Assign seriousness,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,
1508,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1509,Assign seriousness,Wait,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
1510,Assign seriousness,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,,
1511,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1512,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1513,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
1514,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1515,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
1516,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1517,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1518,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1519,Assign seriousness,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Take in charge ticket,Create SW anomaly,Resolve ticket,Take in charge ticket,Create SW anomaly,Resolve ticket,Closed,,,
1520,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1521,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1522,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1523,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1524,Assign seriousness,Take in charge ticket,Take in charge ticket,Resolve ticket,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
1525,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,Closed,,,,,,,,,,
1526,Assign seriousness,Assign seriousness,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,
1527,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1528,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1529,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1530,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,
1531,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,,,,,
1532,Assign seriousness,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,
1533,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1534,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Closed,,,,,,,,,,
1535,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1536,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1537,Assign seriousness,Take in charge ticket,Wait,Resolve ticket,Take in charge ticket,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,
1538,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1539,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1540,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1541,Assign seriousness,Resolve ticket,Closed,,,,,,,,,,,,
1542,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1543,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1544,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1545,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1546,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1547,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1548,Assign seriousness,Assign seriousness,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Take in charge ticket,Wait,Take in charge ticket,Resolve ticket,Closed,,,,
1549,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1550,Assign seriousness,Take in charge ticket,Resolve ticket,Resolve ticket,Closed,,,,,,,,,,
1551,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
1552,Assign seriousness,Take in charge ticket,Resolve ticket,Closed,,,,,,,,,,,
